pl_name,host_star,pl_ltr,sys_stars,sys_planets,sys_moons,disc_method,disc_year,disc_location,disc_facility,orb_period,pl_radius_e,pl_mass_e,pl_density,pl_insol,pl_temp_k,st_type,st_temp_k,st_radius_s,st_mass_s,st_bright,st_gravity,st_age,st_density,ga_lat,ga_long,distance,habit_code,P_HABZONE,P_TYPE_TEMP,P_TYPE
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,b,1,1,0,Imaging,2009,Ground,W. M. Keck Observatory,7336.5,10.31,6657.48,33.4,,2075,M8.5,2300,0.12,0.08,-3.48,,,,-26.43736,70.48455,,0.0,0.0,Cold,Jovian
2MASS J22362452+4751425 b,2MASS J22362452+4751425,b,1,1,0,Imaging,2016,Ground,W. M. Keck Observatory,,12.3,3972.875,11.7,,,K7 V,4045,,0.6,,,0.12,,-9.108981,100.7483,69.5737,0.0,0.0,,Jovian
30 Ari B b,30 Ari B,b,4,1,0,Radial Velocity,2009,Ground,Thueringer Landessternwarte Tautenburg,335.10001,12.3,4392.4106,13,,,F6 V,6331,1.41,1.93,0.46,4.43,0.91,,-32.30954,151.4761,44.657,0.0,0.0,Hot,Jovian
4 UMa b,4 UMa,b,1,1,0,Radial Velocity,2006,Ground,Thueringer Landessternwarte Tautenburg,269.3,12.7,2256.5,6.05,,,K1 III,4415,18.11,1.23,2.05,1.8,4.604,,35.95683,151.3589,73.4603,0.0,0.0,Hot,Jovian
42 Dra b,42 Dra,b,2,1,0,Radial Velocity,2008,Ground,Thueringer Landessternwarte Tautenburg,479.1,13,1233.13,3.08,,,K1.5 III,4200,22.03,0.98,2.13,1.71,9.49,,27.1255,95.41918,90.6545,0.0,0.0,Hot,Jovian
47 UMa b,47 UMa,b,1,3,0,Radial Velocity,1996,Ground,Lick Observatory,1078,13.2,804.08,1.92,,,G0 V,5872,1.21,1.06,0.198,4.3,,0.83662,63.36906,175.7824,13.7967,0.0,2.0,Warm,Jovian
47 UMa c,47 UMa,c,1,3,0,Radial Velocity,2001,Ground,Lick Observatory,2391,14.2,171.621,0.329,,,G1 V,5872,1.21,1.06,0.198,4.3,,0.83662,63.36906,175.7824,13.7967,0.0,0.0,Cold,Jovian
47 UMa d,47 UMa,d,1,3,0,Radial Velocity,2009,Ground,Lick Observatory,14002,13.5,521.22,1.16,,,,5872,1.21,1.06,0.198,4.3,,0.83662,63.36906,175.7824,13.7967,0.0,0.0,Cold,Jovian
51 Eri b,51 Eri,b,3,1,0,Imaging,2015,Ground,Gemini Observatory,11688,13.4,635.66,1.45,,700,F0 IV,7295,1.49,1.65,0.752,4.31,0.02,0.70712,-30.65766,198.6126,29.7575,0.0,0.0,,
51 Peg b,51 Peg,b,1,1,0,Radial Velocity,1995,Ground,Haute-Provence Observatory,4.230785,14.3,146.2018,0.275,,,,5758,1.18,1.03,0.136,4.31,10,0.89374,-34.72726,90.06264,15.4614,0.0,0.0,Hot,Jovian
55 Cnc b,55 Cnc,b,2,5,0,Radial Velocity,1996,Ground,Lick Observatory,14.65152,13.9,263.9785,0.54,,700,K0 IV-V,5250,0.96,0.95,-0.197,4.42,5.5,1.41851,37.6989,196.7947,12.5855,0.0,0.0,Hot,Jovian
55 Cnc c,55 Cnc,c,2,5,0,Radial Velocity,2004,Ground,McDonald Observatory,44.4175,8.51,54.4738,0.486,,,,5250,0.96,0.95,-0.197,4.42,,1.41851,37.6989,196.7947,12.5855,0.0,0.0,Hot,Jovian
55 Cnc d,55 Cnc,d,2,5,0,Radial Velocity,2002,Ground,Lick Observatory,4825,13,1232.493,3.08,,,G8 V,5250,0.96,0.95,-0.197,4.42,5.5,1.41851,37.6989,196.7947,12.5855,0.0,0.0,Cold,Jovian
55 Cnc e,55 Cnc,e,2,5,0,Radial Velocity,2004,Ground,McDonald Observatory,0.736539,1.91,8.08,6.4,,1958,G8 V,5250,0.96,0.9,-0.197,4.42,,1.41851,37.6989,196.7947,12.5855,0.0,0.0,Hot,Superterran
